,entry_time,entry_price,quantity,entry_amount,side,status,entry_balance,exit_time,exit_price,exit_balance,profit,leverage,market_type,profit_percent
31,2024-01-31T22:00:00,42656.07,0.2050026075033264,26312.75499251078,long,closed,8770.918330836927,2024-02-02T09:00:00,42980.91,8802.387424242934,31.469093406007232,3,futures,0.35878903689443575
32,2024-02-02T10:00:00,43122.48,0.20351288381304145,26407.162272728805,long,closed,8802.387424242934,2024-02-03T01:00:00,43221.1,8787.254651869274,-15.132772373659463,3,futures,-0.17191668174002528
33,2024-02-03T07:00:00,43053.05,0.20349064440065606,26361.76395560782,long,closed,8787.254651869274,2024-02-03T18:00:00,43070.35,8755.648862785734,-31.605789083540003,3,futures,-0.3596776278335878
34,2024-02-04T11:00:00,43060.1,0.2027255374743063,26266.946588357205,long,closed,8755.648862785734,2024-02-04T12:00:00,42994.44,8707.354886449408,-48.29397633632652,3,futures,-0.551575069913901
35,2024-02-04T19:00:00,42636.44,0.20361063967324802,26122.064659348223,long,closed,8707.354886449408,2024-02-05T06:00:00,42819.32,8709.750666437929,2.395779988521099,3,futures,0.027514440605247437
36,2024-02-07T02:00:00,43049.04,0.20171463555142266,26129.251999313787,long,closed,8709.750666437929,2024-02-07T14:00:00,43028.6,8670.818868920656,-38.93179751727257,3,futures,-0.44699095310836157
37,2024-02-08T14:00:00,45077.99,0.1917744427449825,26012.456606761963,long,closed,8670.818868920656,2024-02-08T15:00:00,45432.3,8704.041261107746,33.22239218709001,3,futures,0.3831517263746642
38,2024-02-08T23:00:00,45288.65,0.19161377381141684,26112.123783323237,long,closed,8704.041261107746,2024-02-09T03:00:00,46060.74,8817.046343730533,113.00508262278709,3,futures,1.2983059159855648
39,2024-02-09T22:00:00,47272.61,0.1859553598732827,26451.1390311916,long,closed,8817.046343730533,2024-02-10T21:00:00,47941.63,8906.088056502205,89.04171277167188,3,futures,1.0098814194731576
40,2024-02-11T11:00:00,48411.71,0.18341367806121078,26718.264169506616,long,closed,8906.088056502205,2024-02-11T12:00:00,48291.01,8848.37452962932,-57.71352687288527,3,futures,-0.6480233128926871
41,2024-02-12T14:00:00,48798.0,0.18078260186975761,26545.12358888796,long,closed,8848.37452962932,2024-02-12T15:00:00,49917.8,9015.245493850573,166.8709642212525,3,futures,1.8858939985245238
42,2024-02-15T00:00:00,52321.2,0.17178886870654766,27045.736481551718,long,closed,9015.245493850573,2024-02-15T01:00:00,51901.45,8907.175288349717,-108.07020550085508,3,futures,-1.1987494469737014
43,2024-02-16T16:00:00,52041.1,0.17064308330309447,26721.525865049152,long,closed,8907.175288349717,2024-02-17T22:00:00,51710.51,8815.216824709925,-91.95846363979217,3,futures,-1.0324088239295204
44,2024-02-19T14:00:00,52100.0,0.16869042560913233,26445.650474129772,long,closed,8815.216824709925,2024-02-20T09:00:00,51761.33,8722.909147006954,-92.30767770297098,3,futures,-1.0471401842802486
