,entry_time,entry_price,quantity,entry_amount,side,status,entry_balance,exit_time,exit_price,exit_balance,profit,leverage,market_type,profit_percent
290,2024-03-19T07:15:00,64451.61,0.05604613250005919,10869.398617559096,long,closed,3623.1328725196986,2024-03-19T08:15:00,63707.66,3566.997385675092,-56.135486844606476,3,futures,-1.549363184286623
291,2024-03-19T08:30:00,63636.0,0.055884976955152224,10700.992157025277,long,closed,3566.997385675092,2024-03-19T10:00:00,63644.01,3553.1872881512945,-13.810097523797594,3,futures,-0.3871630963133921
292,2024-03-19T10:30:00,63140.0,0.05610591900992779,10659.561864453884,long,closed,3553.1872881512945,2024-03-19T12:00:00,63317.78,3548.9497343318576,-4.2375538194369256,3,futures,-0.11926063772568218
293,2024-03-19T19:45:00,64391.99,0.05494942593215184,10646.849202995572,long,closed,3548.9497343318576,2024-03-20T01:00:00,62703.99,3442.102705901234,-106.8470284306236,3,futures,-3.010666152777708
294,2024-03-20T04:30:00,61320.3,0.055964768564138304,10326.308117703702,long,closed,3442.102705901234,2024-03-20T06:30:00,61895.25,3460.4893881280123,18.386682226778248,3,futures,0.5341700639918567
295,2024-03-20T14:15:00,64147.37,0.053784089978492156,10381.468164384038,long,closed,3460.4893881280123,2024-03-20T14:30:00,64032.42,3440.4815133817797,-20.007874746232574,3,futures,-0.5781804970959925
296,2024-03-20T15:30:00,63520.81,0.05400057192031453,10321.44454014534,long,closed,3440.4815133817797,2024-03-21T09:30:00,66750.0,3600.933637505314,160.4521241235343,3,futures,4.663653139813562
297,2024-03-21T09:45:00,66843.96,0.0537091284925788,10802.800912515942,long,closed,3600.933637505314,2024-03-21T11:45:00,67044.0,3597.2739358457966,-3.6597016595173955,3,futures,-0.10163202180123454
298,2024-03-21T14:00:00,67064.69,0.053477949633976674,10791.82180753739,long,closed,3597.2739358457966,2024-03-21T20:30:00,65339.99,3490.7544456102346,-106.51949023556199,3,futures,-2.961117005133418
299,2024-03-22T02:45:00,65644.0,0.05301752151412778,10472.263336830703,long,closed,3490.7544456102346,2024-03-22T03:00:00,65627.59,3475.9327525806116,-14.82169302962302,3,futures,-0.42459855772043475
300,2024-03-22T08:00:00,66287.92,0.05227958509367724,10427.798257741835,long,closed,3475.9327525806116,2024-03-22T15:30:00,63911.77,3337.939537384326,-137.99321519628575,3,futures,-3.9699621660930107
301,2024-03-22T21:30:00,62684.5,0.053090089555985494,10013.818612152978,long,closed,3337.939537384326,2024-03-22T23:15:00,63350.0,3359.8939161983094,21.954378813983567,3,futures,0.6577224832295059
302,2024-03-23T03:30:00,63356.0,0.05287288077608616,10079.681748594929,long,closed,3359.8939161983094,2024-03-23T04:45:00,63880.63,3374.175380957381,14.281464759071696,3,futures,0.4250570141580923
303,2024-03-23T09:15:00,64373.29,0.052258519873918344,10122.526142872142,long,closed,3374.175380957381,2024-03-23T13:00:00,64563.99,3370.6445359999107,-3.5308449574704355,3,futures,-0.10464319600567151
304,2024-03-23T13:15:00,64535.97,0.052072241300346316,10111.933607999732,long,closed,3370.6445359999107,2024-03-23T14:45:00,65248.0,3394.2119907646315,23.56745476472088,3,futures,0.699197275565866
305,2024-03-23T18:45:00,65373.88,0.051764242152864993,10182.635972293894,long,closed,3394.2119907646315,2024-03-24T01:30:00,64469.89,3333.897762531041,-60.31422823359071,3,futures,-1.7769729291423397
306,2024-03-24T03:15:00,64199.99,0.05177409013994313,10001.693287593123,long,closed,3333.897762531041,2024-03-24T05:00:00,64153.85,3318.1857055116657,-15.712057019375152,3,futures,-0.47128190900032063
307,2024-03-24T14:00:00,65541.99,0.05047498784207087,9954.557116534997,long,closed,3318.1857055116657,2024-03-24T14:30:00,65625.91,3309.1545423654625,-9.031163146203198,3,futures,-0.2721717211668362
308,2024-03-24T15:15:00,65699.99,0.05021655374282957,9927.463627096387,long,closed,3309.1545423654625,2024-03-24T18:45:00,65846.01,3303.2531402159775,-5.901402149484966,3,futures,-0.17833564658078505
309,2024-03-25T03:45:00,67350.0,0.04889893661166043,9909.759420647933,long,closed,3303.2531402159775,2024-03-25T04:00:00,67229.51,3284.1640963750674,-19.089043840910108,3,futures,-0.5778861937193791
310,2024-03-25T06:30:00,67030.01,0.04884844272119223,9852.492289125203,long,closed,3284.1640963750674,2024-03-26T03:00:00,70400.01,3435.4919252003037,151.32782882523634,3,futures,4.607803519692144
311,2024-03-26T05:30:00,70340.0,0.04869470357442,10306.475775600911,long,closed,3435.4919252003037,2024-03-26T07:15:00,71485.24,3477.471619174525,41.97969397422139,3,futures,1.2219412791014905
312,2024-03-26T08:30:00,70714.63,0.04902859852787183,10432.414857523576,long,closed,3477.471619174525,2024-03-26T09:30:00,71028.01,3478.921382737142,1.4497635626166812,3,futures,0.04169016231858613
