,entry_time,entry_price,quantity,entry_amount,side,status,entry_balance,exit_time,exit_price,exit_balance,profit,leverage,market_type,profit_percent
0,2024-01-07T00:00:00,43940.41,0.2268982014505554,30000.0,long,closed,10000.0,2024-01-12T16:00:00,43472.55,9853.979564061874,-146.02043593812596,3,futures,-1.4602043593812564
1,2024-01-26T12:00:00,41422.99,0.2371730680322615,29561.93869218562,long,closed,9853.979564061874,2024-02-04T20:00:00,42582.88,10089.412782954378,235.43321889250365,3,futures,2.389219678830523
2,2024-02-05T08:00:00,43194.08,0.23288248168743297,30268.238348863128,long,closed,10089.412782954378,2024-02-05T12:00:00,42644.03,9921.116488017788,-168.29629493659013,3,futures,-1.6680484638404214
3,2024-02-06T12:00:00,43244.89,0.2287288310492577,29763.34946405336,long,closed,9921.116488017788,2024-02-21T12:00:00,51156.0,11689.15122907467,1768.034741056883,3,futures,17.820925126645015
4,2024-02-25T04:00:00,51719.28,0.22533344964174765,35067.45368722401,long,closed,11689.15122907467,2024-03-15T00:00:00,68224.01,15357.778370171394,3668.627141096724,3,futures,31.384889024035132
5,2024-03-24T20:00:00,67209.99,0.227818885779642,46073.335110514185,long,closed,15357.778370171394,2024-04-01T12:00:00,68237.15,15530.165770296519,172.38740012512426,3,futures,1.1224761548841222
6,2024-04-05T20:00:00,67820.62,0.2283018833060746,46590.49731088956,long,closed,15530.165770296519,2024-04-10T12:00:00,68657.32,15658.920863289075,128.75509299255646,3,futures,0.8290645115895501
7,2024-04-10T16:00:00,70083.99,0.22276049209953952,46976.76258986723,long,closed,15658.920863289075,2024-04-12T16:00:00,66843.98,14875.307680813085,-783.6131824759905,3,futures,-5.004260442449137
8,2024-04-19T16:00:00,64325.25,0.23055770102363607,44625.92304243925,long,closed,14875.307680813085,2024-04-24T20:00:00,64289.59,14807.63761008199,-67.6700707310938,3,futures,-0.454915435587111
9,2024-05-03T20:00:00,62882.01,0.23477644396627498,44422.91283024597,long,closed,14807.63761008199,2024-05-08T08:00:00,62243.4,14598.67082825807,-208.96678182392134,3,futures,-1.4112094537054531
10,2024-05-10T08:00:00,63299.63,0.22993617523156606,43796.01248477421,long,closed,14598.67082825807,2024-05-10T12:00:00,60928.02,13995.546327349128,-603.1245009089416,3,futures,-4.131365848331193
11,2024-05-13T08:00:00,62738.0,0.22241001766659887,41986.638982047385,long,closed,13995.546327349128,2024-05-24T00:00:00,67891.83,15084.72328660801,1089.1769592588826,3,futures,7.782311128008557
12,2024-05-25T08:00:00,69104.67,0.2176331804601366,45254.16985982403,long,closed,15084.72328660801,2024-05-27T08:00:00,68434.26,14878.672090579672,-206.05119602833838,3,futures,-1.3659594021937949
13,2024-05-27T12:00:00,70373.85,0.2107890370401496,44636.01627173901,long,closed,14878.672090579672,2024-05-28T04:00:00,67694.0,14254.88392032249,-623.7881702571813,3,futures,-4.192498943854861
14,2024-06-03T04:00:00,68906.7,0.20625163109772376,42764.65176096747,long,closed,14254.88392032249,2024-06-08T04:00:00,69582.2,14337.090803122666,82.20688280017566,3,futures,0.5766927549860856
15,2024-06-30T16:00:00,62026.83,0.23044994449520145,43011.272409368,long,closed,14337.090803122666,2024-07-03T04:00:00,60870.01,14013.462935496436,-323.62786762623,3,futures,-2.257277100844912
16,2024-07-09T20:00:00,58050.0,0.24067911363806974,42040.38880648931,long,closed,14013.462935496436,2024-07-12T00:00:00,56914.01,13684.315466907849,-329.1474685885878,3,futures,-2.348794656279063
17,2024-07-12T20:00:00,57889.1,0.23567929922052902,41052.946400723544,long,closed,13684.315466907849,2024-07-24T04:00:00,66078.0,15557.643517160222,1873.328050252374,3,futures,13.689600000690994
18,2024-07-26T08:00:00,67322.0,0.23039972945855355,46672.93055148067,long,closed,15557.643517160222,2024-07-30T08:00:00,66574.01,15323.295259078068,-234.34825808215464,3,futures,-1.5063223284661698
19,2024-08-08T16:00:00,59414.51,0.2571312188436938,45969.8857772342,long,closed,15323.295259078068,2024-08-12T04:00:00,58674.61,15071.986910493906,-251.30834858416165,3,futures,-1.640041155216121
20,2024-08-12T12:00:00,60207.37,0.2495835800461376,45215.96073148172,long,closed,15071.986910493906,2024-08-12T16:00:00,59043.98,14721.671500663975,-350.315409829931,3,futures,-2.324281542375961
21,2024-08-13T16:00:00,60820.15,0.24132637762586878,44165.01450199193,long,closed,14721.671500663975,2024-08-14T20:00:00,58683.39,14147.688085570626,-573.9834150933493,3,futures,-3.898901120483922
22,2024-08-17T16:00:00,59473.19,0.23716980745969593,42443.06425671188,long,closed,14147.688085570626,2024-08-19T04:00:00,58502.19,13861.078185132279,-286.6099004383468,3,futures,-2.0258426585659794
23,2024-08-20T00:00:00,60619.18,0.22797231751694566,41583.23455539683,long,closed,13861.078185132279,2024-08-27T12:00:00,61709.13,14053.905404676421,192.82721954414228,3,futures,1.3911415617796186
24,2024-09-09T20:00:00,57042.0,0.2456390675022333,42161.716214029264,long,closed,14053.905404676421,2024-09-16T16:00:00,57943.99,14219.074363287773,165.16895861135163,3,futures,1.1752530976648856
25,2024-09-17T12:00:00,61135.5,0.23188519174944033,42657.22308986332,long,closed,14219.074363287773,2024-09-30T08:00:00,63819.44,14783.984298660162,564.9099353723886,3,futures,3.97290232077927
26,2024-10-06T12:00:00,62720.01,0.23500685579871847,44351.95289598049,long,closed,14783.984298660162,2024-10-09T00:00:00,62394.07,14648.37117697396,-135.61312168620134,3,futures,-0.9172975224174928
